psx_offset,duckstation_va,byte_length,type,description,tags,notes
9AC26,8009AC26,1,Byte,Movement Paralysis,field,"0 = enabled, 1 = paralyzed"
9AC2F,8009AC2F,1,Byte,?,field,disables encounters?
9AC30,8009AC30,1,Byte,Current Encounter Table,field,"0 for table 1, 1 for table 2"
9AC60,8009AC60,2,2 Bytes,(Field) Controller Inputs,"field,input",
9AC70,8009AC70,2,2 Bytes,(Field) Controller Inputs Copy,"field,input",
9AD2C,8009AD2C,1,Byte,Step Offset,,goes up by 13 every time stepid overflows
9C540,8009C540,1,Byte,Step ID,field,
9C560,8009C560,1,Byte,Current Module,,
9C6D8,8009C6D8,1,Byte,Step Fraction,,
9C6E4,8009C6E4,4,4 Bytes,Beginning of Save Context,menu,not really anything here (i think) but having this is useful
9C738,8009C738,1,Byte,Cloud's Character ID,party,
9C739,8009C739,1,Byte,Cloud's Level,party,
9C73A,8009C73A,1,Byte,Cloud's Strength,party,
9C73B,8009C73B,1,Byte,Cloud's Vitality,party,
9C73C,8009C73C,1,Byte,Cloud's Magic,party,
9C73D,8009C73D,1,Byte,Cloud's Spirit,party,
9C73E,8009C73E,1,Byte,Cloud's Dexterity,party,
9C73F,8009C73F,1,Byte,Cloud's Luck,party,
9C740,8009C740,1,Byte,Cloud's Strength Bonus,party,
9C741,8009C741,1,Byte,Cloud's Vitality Bonus,party,
9C742,8009C742,1,Byte,Cloud's Magic Bonus,party,
9C743,8009C743,1,Byte,Cloud's Spirit Bonus,party,
9C744,8009C744,1,Byte,Cloud's Dexterity Bonus,party,
9C745,8009C745,1,Byte,Cloud's Luck Bonus,party,
9C746,8009C746,1,Byte,Cloud's Current Limit Level (1-4),party,
9C747,8009C747,1,Byte,Cloud's Current Limit Bar,"battle,party",
9C748,8009C748,12,Array of byte,Cloud's Character Name,party,
9C754,8009C754,1,Byte,Cloud's Equipped Weapon,"equipment,party",
9C755,8009C755,1,Byte,Cloud's Equipped Armor,"equipment,party",
9C756,8009C756,1,Byte,Cloud's Equipped Accessory,"equipment,party",
9C757,8009C757,1,Byte,"Cloud's Status Flags (Sadness, Fury)","party,status",
9C758,8009C758,1,Byte,Cloud's Row,party,
9C759,8009C759,1,Byte,Cloud's Level Progress Bar (0-63),party,
9C75A,8009C75A,2,2 Bytes,Cloud's Learned Limits,party,
9C75C,8009C75C,2,2 Bytes,Cloud's Kill Count,party,
9C75E,8009C75E,2,2 Bytes,Cloud's Braver Usages,party,
9C760,8009C760,2,2 Bytes,Cloud's Blade Beam Usages,party,
9C762,8009C762,2,2 Bytes,Cloud's Meteorain Usages,party,
9C764,8009C764,2,2 Bytes,Cloud's Current HP,party,
9C766,8009C766,2,2 Bytes,Cloud's Base HP,party,
9C768,8009C768,2,2 Bytes,Cloud's Current MP,party,
9C76A,8009C76A,2,2 Bytes,Cloud's Base MP,party,
9C76C,8009C76C,4,4 Bytes,Cloud Unknown,party,
9C770,8009C770,2,2 Bytes,Cloud's Maximum HP,party,
9C772,8009C772,2,2 Bytes,Cloud's Maximum MP,party,
9C774,8009C774,4,4 Bytes,Cloud's Current EXP,"party,rewards",
9C778,8009C778,4,4 Bytes,Cloud's Weapon Materia Slot 1,"equipment,party",
9C77C,8009C77C,4,4 Bytes,Cloud's Weapon Materia Slot 2,"equipment,party",
9C780,8009C780,4,4 Bytes,Cloud's Weapon Materia Slot 3,"equipment,party",
9C784,8009C784,4,4 Bytes,Cloud's Weapon Materia Slot 4,"equipment,party",
9C788,8009C788,4,4 Bytes,Cloud's Weapon Materia Slot 5,"equipment,party",
9C78C,8009C78C,4,4 Bytes,Cloud's Weapon Materia Slot 6,"equipment,party",
9C790,8009C790,4,4 Bytes,Cloud's Weapon Materia Slot 7,"equipment,party",
9C794,8009C794,4,4 Bytes,Cloud's Weapon Materia Slot 8,"equipment,party",
9C798,8009C798,4,4 Bytes,Cloud's Armor Materia Slot 1,"equipment,party",
9C79C,8009C79C,4,4 Bytes,Cloud's Armor Materia Slot 2,"equipment,party",
9C7A0,8009C7A0,4,4 Bytes,Cloud's Armor Materia Slot 3,"equipment,party",
9C7A4,8009C7A4,4,4 Bytes,Cloud's Armor Materia Slot 4,"equipment,party",
9C7A8,8009C7A8,4,4 Bytes,Cloud's Armor Materia Slot 5,"equipment,party",
9C7AC,8009C7AC,4,4 Bytes,Cloud's Armor Materia Slot 6,"equipment,party",
9C7B0,8009C7B0,4,4 Bytes,Cloud's Armor Materia Slot 7,"equipment,party",
9C7B4,8009C7B4,4,4 Bytes,Cloud's Armor Materia Slot 8,"equipment,party",
9C7B8,8009C7B8,4,4 Bytes,Cloud's EXP to Next Level,"party,rewards",
9C7BC,8009C7BC,1,Byte,Barret's Character ID,party,
9C7BD,8009C7BD,1,Byte,Barret's Level,party,
9C7BE,8009C7BE,1,Byte,Barret's Strength,party,
9C7BF,8009C7BF,1,Byte,Barret's Vitality,party,
9C7C0,8009C7C0,1,Byte,Barret's Magic,party,
9C7C1,8009C7C1,1,Byte,Barret's Spirit,party,
9C7C2,8009C7C2,1,Byte,Barret's Dexterity,party,
9C7C3,8009C7C3,1,Byte,Barret's Luck,party,
9C7C4,8009C7C4,1,Byte,Barret's Strength Bonus,party,
9C7C5,8009C7C5,1,Byte,Barret's Vitality Bonus,party,
9C7C6,8009C7C6,1,Byte,Barret's Magic Bonus,party,
9C7C7,8009C7C7,1,Byte,Barret's Spirit Bonus,party,
9C7C8,8009C7C8,1,Byte,Barret's Dexterity Bonus,party,
9C7C9,8009C7C9,1,Byte,Barret's Luck Bonus,party,
9C7CA,8009C7CA,1,Byte,Barret's Current Limit Level (1-4),party,
9C7CB,8009C7CB,1,Byte,Barret's Current Limit Bar,"battle,party",
9C7CC,8009C7CC,12,Array of byte,Barret's Character Name,party,
9C7D8,8009C7D8,1,Byte,Barret's Equipped Weapon,"equipment,party",
9C7D9,8009C7D9,1,Byte,Barret's Equipped Armor,"equipment,party",
9C7DA,8009C7DA,1,Byte,Barret's Equipped Accessory,"equipment,party",
9C7DB,8009C7DB,1,Byte,"Barret's Status Flags (Sadness, Fury)","party,status",
9C7DC,8009C7DC,1,Byte,Barret's Row,party,
9C7DD,8009C7DD,1,Byte,Barret's Level Progress Bar (0-63),party,
9C7DE,8009C7DE,2,2 Bytes,Barret's Learned Limits,party,
9C7E0,8009C7E0,2,2 Bytes,Barret's Kill Count,party,
9C7E2,8009C7E2,2,2 Bytes,Barret's Big Shot Usages,party,
9C7E4,8009C7E4,2,2 Bytes,Barret's Grenade Bomb Usages,party,
9C7E6,8009C7E6,2,2 Bytes,Barret's Satellite Beam Usages,party,
9C7E8,8009C7E8,2,2 Bytes,Barret's Current HP,party,
9C7EA,8009C7EA,2,2 Bytes,Barret's Base HP,party,
9C7EC,8009C7EC,2,2 Bytes,Barret's Current MP,party,
9C7EE,8009C7EE,2,2 Bytes,Barret's Base MP,party,
9C7F0,8009C7F0,4,4 Bytes,Barret Unknown,party,
9C7F4,8009C7F4,2,2 Bytes,Barret's Maximum HP,party,
9C7F6,8009C7F6,2,2 Bytes,Barret's Maximum MP,party,
9C7F8,8009C7F8,4,4 Bytes,Barret's Current EXP,"party,rewards",
9C7FC,8009C7FC,4,4 Bytes,Barret's Weapon Materia Slot 1,"equipment,party",
9C800,8009C800,4,4 Bytes,Barret's Weapon Materia Slot 2,"equipment,party",
9C804,8009C804,4,4 Bytes,Barret's Weapon Materia Slot 3,"equipment,party",
9C808,8009C808,4,4 Bytes,Barret's Weapon Materia Slot 4,"equipment,party",
9C80C,8009C80C,4,4 Bytes,Barret's Weapon Materia Slot 5,"equipment,party",
9C810,8009C810,4,4 Bytes,Barret's Weapon Materia Slot 6,"equipment,party",
9C814,8009C814,4,4 Bytes,Barret's Weapon Materia Slot 7,"equipment,party",
9C818,8009C818,4,4 Bytes,Barret's Weapon Materia Slot 8,"equipment,party",
9C81C,8009C81C,4,4 Bytes,Barret's Armor Materia Slot 1,"equipment,party",
9C820,8009C820,4,4 Bytes,Barret's Armor Materia Slot 2,"equipment,party",
9C824,8009C824,4,4 Bytes,Barret's Armor Materia Slot 3,"equipment,party",
9C828,8009C828,4,4 Bytes,Barret's Armor Materia Slot 4,"equipment,party",
9C82C,8009C82C,4,4 Bytes,Barret's Armor Materia Slot 5,"equipment,party",
9C830,8009C830,4,4 Bytes,Barret's Armor Materia Slot 6,"equipment,party",
9C834,8009C834,4,4 Bytes,Barret's Armor Materia Slot 7,"equipment,party",
9C838,8009C838,4,4 Bytes,Barret's Armor Materia Slot 8,"equipment,party",
9C83C,8009C83C,4,4 Bytes,Barret's EXP to Next Level,"party,rewards",
9C840,8009C840,1,Byte,Tifa's Character ID,party,
9C841,8009C841,1,Byte,Tifa's Level,party,
9C842,8009C842,1,Byte,Tifa's Strength,party,
9C843,8009C843,1,Byte,Tifa's Vitality,party,
9C844,8009C844,1,Byte,Tifa's Magic,party,
9C845,8009C845,1,Byte,Tifa's Spirit,party,
9C846,8009C846,1,Byte,Tifa's Dexterity,party,
9C847,8009C847,1,Byte,Tifa's Luck,party,
9C848,8009C848,1,Byte,Tifa's Strength Bonus,party,
9C849,8009C849,1,Byte,Tifa's Vitality Bonus,party,
9C84A,8009C84A,1,Byte,Tifa's Magic Bonus,party,
9C84B,8009C84B,1,Byte,Tifa's Spirit Bonus,party,
9C84C,8009C84C,1,Byte,Tifa's Dexterity Bonus,party,
9C84D,8009C84D,1,Byte,Tifa's Luck Bonus,party,
9C84E,8009C84E,1,Byte,Tifa's Current Limit Level (1-4),party,
9C84F,8009C84F,1,Byte,Tifa's Current Limit Bar,"battle,party",
9C850,8009C850,12,Array of byte,Tifa's Character Name,party,
9C85C,8009C85C,1,Byte,Tifa's Equipped Weapon,"equipment,party",
9C85D,8009C85D,1,Byte,Tifa's Equipped Armor,"equipment,party",
9C85E,8009C85E,1,Byte,Tifa's Equipped Accessory,"equipment,party",
9C85F,8009C85F,1,Byte,"Tifa's Status Flags (Sadness, Fury)","party,status",
9C860,8009C860,1,Byte,Tifa's Row,party,
9C861,8009C861,1,Byte,Tifa's Level Progress Bar (0-63),party,
9C862,8009C862,2,2 Bytes,Tifa's Learned Limits,party,
9C864,8009C864,2,2 Bytes,Tifa's Kill Count,party,
9C866,8009C866,2,2 Bytes,Tifa's Beat Rush Usages,party,
9C868,8009C868,2,2 Bytes,Tifa's Waterkick Usages,party,
9C86A,8009C86A,2,2 Bytes,Tifa's Dolphin Blow Usages,party,
9C86C,8009C86C,2,2 Bytes,Tifa's Current HP,party,
9C86E,8009C86E,2,2 Bytes,Tifa's Base HP,party,
9C870,8009C870,2,2 Bytes,Tifa's Current MP,party,
9C872,8009C872,2,2 Bytes,Tifa's Base MP,party,
9C874,8009C874,4,4 Bytes,Tifa Unknown,party,
9C878,8009C878,2,2 Bytes,Tifa's Maximum HP,party,
9C87A,8009C87A,2,2 Bytes,Tifa's Maximum MP,party,
9C87C,8009C87C,4,4 Bytes,Tifa's Current EXP,"party,rewards",
9C880,8009C880,4,4 Bytes,Tifa's Weapon Materia Slot 1,"equipment,party",
9C884,8009C884,4,4 Bytes,Tifa's Weapon Materia Slot 2,"equipment,party",
9C888,8009C888,4,4 Bytes,Tifa's Weapon Materia Slot 3,"equipment,party",
9C88C,8009C88C,4,4 Bytes,Tifa's Weapon Materia Slot 4,"equipment,party",
9C890,8009C890,4,4 Bytes,Tifa's Weapon Materia Slot 5,"equipment,party",
9C894,8009C894,4,4 Bytes,Tifa's Weapon Materia Slot 6,"equipment,party",
9C898,8009C898,4,4 Bytes,Tifa's Weapon Materia Slot 7,"equipment,party",
9C89C,8009C89C,4,4 Bytes,Tifa's Weapon Materia Slot 8,"equipment,party",
9C8A0,8009C8A0,4,4 Bytes,Tifa's Armor Materia Slot 1,"equipment,party",
9C8A4,8009C8A4,4,4 Bytes,Tifa's Armor Materia Slot 2,"equipment,party",
9C8A8,8009C8A8,4,4 Bytes,Tifa's Armor Materia Slot 3,"equipment,party",
9C8AC,8009C8AC,4,4 Bytes,Tifa's Armor Materia Slot 4,"equipment,party",
9C8B0,8009C8B0,4,4 Bytes,Tifa's Armor Materia Slot 5,"equipment,party",
9C8B4,8009C8B4,4,4 Bytes,Tifa's Armor Materia Slot 6,"equipment,party",
9C8B8,8009C8B8,4,4 Bytes,Tifa's Armor Materia Slot 7,"equipment,party",
9C8BC,8009C8BC,4,4 Bytes,Tifa's Armor Materia Slot 8,"equipment,party",
9C8C0,8009C8C0,4,4 Bytes,Tifa's EXP to Next Level,"party,rewards",
9C8C4,8009C8C4,1,Byte,Aeris's Character ID,party,
9C8C5,8009C8C5,1,Byte,Aeris's Level,party,
9C8C6,8009C8C6,1,Byte,Aeris's Strength,party,
9C8C7,8009C8C7,1,Byte,Aeris's Vitality,party,
9C8C8,8009C8C8,1,Byte,Aeris's Magic,party,
9C8C9,8009C8C9,1,Byte,Aeris's Spirit,party,
9C8CA,8009C8CA,1,Byte,Aeris's Dexterity,party,
9C8CB,8009C8CB,1,Byte,Aeris's Luck,party,
9C8CC,8009C8CC,1,Byte,Aeris's Strength Bonus,party,
9C8CD,8009C8CD,1,Byte,Aeris's Vitality Bonus,party,
9C8CE,8009C8CE,1,Byte,Aeris's Magic Bonus,party,
9C8CF,8009C8CF,1,Byte,Aeris's Spirit Bonus,party,
9C8D0,8009C8D0,1,Byte,Aeris's Dexterity Bonus,party,
9C8D1,8009C8D1,1,Byte,Aeris's Luck Bonus,party,
9C8D2,8009C8D2,1,Byte,Aeris's Current Limit Level (1-4),party,
9C8D3,8009C8D3,1,Byte,Aeris's Current Limit Bar,"battle,party",
9C8D4,8009C8D4,12,Array of byte,Aeris's Character Name,party,
9C8E0,8009C8E0,1,Byte,Aeris's Equipped Weapon,"equipment,party",
9C8E1,8009C8E1,1,Byte,Aeris's Equipped Armor,"equipment,party",
9C8E2,8009C8E2,1,Byte,Aeris's Equipped Accessory,"equipment,party",
9C8E3,8009C8E3,1,Byte,"Aeris's Status Flags (Sadness, Fury)","party,status",
9C8E4,8009C8E4,1,Byte,Aeris's Row,party,
9C8E5,8009C8E5,1,Byte,Aeris's Level Progress Bar (0-63),party,
9C8E6,8009C8E6,2,2 Bytes,Aeris's Learned Limits,party,
9C8E8,8009C8E8,2,2 Bytes,Aeris's Kill Count,party,
9C8EA,8009C8EA,2,2 Bytes,Aeris's Healing Wind Usages,party,
9C8EC,8009C8EC,2,2 Bytes,Aeris's Breath of Earth Usages,party,
9C8EE,8009C8EE,2,2 Bytes,Aeris's Planet Protector Usages,party,
9C8F0,8009C8F0,2,2 Bytes,Aeris's Current HP,party,
9C8F2,8009C8F2,2,2 Bytes,Aeris's Base HP,party,
9C8F4,8009C8F4,2,2 Bytes,Aeris's Current MP,party,
9C8F6,8009C8F6,2,2 Bytes,Aeris's Base MP,party,
9C8F8,8009C8F8,4,4 Bytes,Aeris Unknown,party,
9C8FC,8009C8FC,2,2 Bytes,Aeris's Maximum HP,party,
9C8FE,8009C8FE,2,2 Bytes,Aeris's Maximum MP,party,
9C900,8009C900,4,4 Bytes,Aeris's Current EXP,"party,rewards",
9C904,8009C904,4,4 Bytes,Aeris's Weapon Materia Slot 1,"equipment,party",
9C908,8009C908,4,4 Bytes,Aeris's Weapon Materia Slot 2,"equipment,party",
9C90C,8009C90C,4,4 Bytes,Aeris's Weapon Materia Slot 3,"equipment,party",
9C910,8009C910,4,4 Bytes,Aeris's Weapon Materia Slot 4,"equipment,party",
9C914,8009C914,4,4 Bytes,Aeris's Weapon Materia Slot 5,"equipment,party",
9C918,8009C918,4,4 Bytes,Aeris's Weapon Materia Slot 6,"equipment,party",
9C91C,8009C91C,4,4 Bytes,Aeris's Weapon Materia Slot 7,"equipment,party",
9C920,8009C920,4,4 Bytes,Aeris's Weapon Materia Slot 8,"equipment,party",
9C924,8009C924,4,4 Bytes,Aeris's Armor Materia Slot 1,"equipment,party",
9C928,8009C928,4,4 Bytes,Aeris's Armor Materia Slot 2,"equipment,party",
9C92C,8009C92C,4,4 Bytes,Aeris's Armor Materia Slot 3,"equipment,party",
9C930,8009C930,4,4 Bytes,Aeris's Armor Materia Slot 4,"equipment,party",
9C934,8009C934,4,4 Bytes,Aeris's Armor Materia Slot 5,"equipment,party",
9C938,8009C938,4,4 Bytes,Aeris's Armor Materia Slot 6,"equipment,party",
9C93C,8009C93C,4,4 Bytes,Aeris's Armor Materia Slot 7,"equipment,party",
9C940,8009C940,4,4 Bytes,Aeris's Armor Materia Slot 8,"equipment,party",
9C944,8009C944,4,4 Bytes,Aeris's EXP to Next Level,"party,rewards",
9C948,8009C948,1,Byte,Red XIII's Character ID,party,
9C949,8009C949,1,Byte,Red XIII's Level,party,
9C94A,8009C94A,1,Byte,Red XIII's Strength,party,
9C94B,8009C94B,1,Byte,Red XIII's Vitality,party,
9C94C,8009C94C,1,Byte,Red XIII's Magic,party,
9C94D,8009C94D,1,Byte,Red XIII's Spirit,party,
9C94E,8009C94E,1,Byte,Red XIII's Dexterity,party,
9C94F,8009C94F,1,Byte,Red XIII's Luck,party,
9C950,8009C950,1,Byte,Red XIII's Strength Bonus,party,
9C951,8009C951,1,Byte,Red XIII's Vitality Bonus,party,
9C952,8009C952,1,Byte,Red XIII's Magic Bonus,party,
9C953,8009C953,1,Byte,Red XIII's Spirit Bonus,party,
9C954,8009C954,1,Byte,Red XIII's Dexterity Bonus,party,
9C955,8009C955,1,Byte,Red XIII's Luck Bonus,party,
9C956,8009C956,1,Byte,Red XIII's Current Limit Level (1-4),party,
9C957,8009C957,1,Byte,Red XIII's Current Limit Bar,"battle,party",
9C958,8009C958,12,Array of byte,Red XIII's Character Name,party,
9C964,8009C964,1,Byte,Red XIII's Equipped Weapon,"equipment,party",
9C965,8009C965,1,Byte,Red XIII's Equipped Armor,"equipment,party",
9C966,8009C966,1,Byte,Red XIII's Equipped Accessory,"equipment,party",
9C967,8009C967,1,Byte,"Red XIII's Status Flags (Sadness, Fury)","party,status",
9C968,8009C968,1,Byte,Red XIII's Row,party,
9C969,8009C969,1,Byte,Red XIII's Level Progress Bar (0-63),party,
9C96A,8009C96A,2,2 Bytes,Red XIII's Learned Limits,party,
9C96C,8009C96C,2,2 Bytes,Red XIII's Kill Count,party,
9C96E,8009C96E,2,2 Bytes,Red XIII's Sled Fang Usages,party,
9C970,8009C970,2,2 Bytes,Red XIII's Blood Fang Usages,party,
9C972,8009C972,2,2 Bytes,Red XIII's Howling Moon Usages,party,
9C974,8009C974,2,2 Bytes,Red XIII's Current HP,party,
9C976,8009C976,2,2 Bytes,Red XIII's Base HP,party,
9C978,8009C978,2,2 Bytes,Red XIII's Current MP,party,
9C97A,8009C97A,2,2 Bytes,Red XIII's Base MP,party,
9C97C,8009C97C,4,4 Bytes,Red XIII Unknown,party,
9C980,8009C980,2,2 Bytes,Red XIII's Maximum HP,party,
9C982,8009C982,2,2 Bytes,Red XIII's Maximum MP,party,
9C984,8009C984,4,4 Bytes,Red XIII's Current EXP,"party,rewards",
9C988,8009C988,4,4 Bytes,Red XIII's Weapon Materia Slot 1,"equipment,party",
9C98C,8009C98C,4,4 Bytes,Red XIII's Weapon Materia Slot 2,"equipment,party",
9C990,8009C990,4,4 Bytes,Red XIII's Weapon Materia Slot 3,"equipment,party",
9C994,8009C994,4,4 Bytes,Red XIII's Weapon Materia Slot 4,"equipment,party",
9C998,8009C998,4,4 Bytes,Red XIII's Weapon Materia Slot 5,"equipment,party",
9C99C,8009C99C,4,4 Bytes,Red XIII's Weapon Materia Slot 6,"equipment,party",
9C9A0,8009C9A0,4,4 Bytes,Red XIII's Weapon Materia Slot 7,"equipment,party",
9C9A4,8009C9A4,4,4 Bytes,Red XIII's Weapon Materia Slot 8,"equipment,party",
9C9A8,8009C9A8,4,4 Bytes,Red XIII's Armor Materia Slot 1,"equipment,party",
9C9AC,8009C9AC,4,4 Bytes,Red XIII's Armor Materia Slot 2,"equipment,party",
9C9B0,8009C9B0,4,4 Bytes,Red XIII's Armor Materia Slot 3,"equipment,party",
9C9B4,8009C9B4,4,4 Bytes,Red XIII's Armor Materia Slot 4,"equipment,party",
9C9B8,8009C9B8,4,4 Bytes,Red XIII's Armor Materia Slot 5,"equipment,party",
9C9BC,8009C9BC,4,4 Bytes,Red XIII's Armor Materia Slot 6,"equipment,party",
9C9C0,8009C9C0,4,4 Bytes,Red XIII's Armor Materia Slot 7,"equipment,party",
9C9C4,8009C9C4,4,4 Bytes,Red XIII's Armor Materia Slot 8,"equipment,party",
9C9C8,8009C9C8,4,4 Bytes,Red XIII's EXP to Next Level,"party,rewards",
9C9CC,8009C9CC,1,Byte,Yuffie's Character ID,party,
9C9CD,8009C9CD,1,Byte,Yuffie's Level,party,
9C9CE,8009C9CE,1,Byte,Yuffie's Strength,party,
9C9CF,8009C9CF,1,Byte,Yuffie's Vitality,party,
9C9D0,8009C9D0,1,Byte,Yuffie's Magic,party,
9C9D1,8009C9D1,1,Byte,Yuffie's Spirit,party,
9C9D2,8009C9D2,1,Byte,Yuffie's Dexterity,party,
9C9D3,8009C9D3,1,Byte,Yuffie's Luck,party,
9C9D4,8009C9D4,1,Byte,Yuffie's Strength Bonus,party,
9C9D5,8009C9D5,1,Byte,Yuffie's Vitality Bonus,party,
9C9D6,8009C9D6,1,Byte,Yuffie's Magic Bonus,party,
9C9D7,8009C9D7,1,Byte,Yuffie's Spirit Bonus,party,
9C9D8,8009C9D8,1,Byte,Yuffie's Dexterity Bonus,party,
9C9D9,8009C9D9,1,Byte,Yuffie's Luck Bonus,party,
9C9DA,8009C9DA,1,Byte,Yuffie's Current Limit Level (1-4),party,
9C9DB,8009C9DB,1,Byte,Yuffie's Current Limit Bar,"battle,party",
9C9DC,8009C9DC,12,Array of byte,Yuffie's Character Name,party,
9C9E8,8009C9E8,1,Byte,Yuffie's Equipped Weapon,"equipment,party",
9C9E9,8009C9E9,1,Byte,Yuffie's Equipped Armor,"equipment,party",
9C9EA,8009C9EA,1,Byte,Yuffie's Equipped Accessory,"equipment,party",
9C9EB,8009C9EB,1,Byte,"Yuffie's Status Flags (Sadness, Fury)","party,status",
9C9EC,8009C9EC,1,Byte,Yuffie's Row,party,
9C9ED,8009C9ED,1,Byte,Yuffie's Level Progress Bar (0-63),party,
9C9EE,8009C9EE,2,2 Bytes,Yuffie's Learned Limits,party,
9C9F0,8009C9F0,2,2 Bytes,Yuffie's Kill Count,party,
9C9F2,8009C9F2,2,2 Bytes,Yuffie's Greased Lightning Usages,party,
9C9F4,8009C9F4,2,2 Bytes,Yuffie's Landscaper Usages,party,
9C9F6,8009C9F6,2,2 Bytes,Yuffie's Gauntlet Usages,party,
9C9F8,8009C9F8,2,2 Bytes,Yuffie's Current HP,party,
9C9FA,8009C9FA,2,2 Bytes,Yuffie's Base HP,party,
9C9FC,8009C9FC,2,2 Bytes,Yuffie's Current MP,party,
9C9FE,8009C9FE,2,2 Bytes,Yuffie's Base MP,party,
9CA00,8009CA00,4,4 Bytes,Yuffie Unknown,party,
9CA04,8009CA04,2,2 Bytes,Yuffie's Maximum HP,party,
9CA06,8009CA06,2,2 Bytes,Yuffie's Maximum MP,party,
9CA08,8009CA08,4,4 Bytes,Yuffie's Current EXP,"party,rewards",
9CA0C,8009CA0C,4,4 Bytes,Yuffie's Weapon Materia Slot 1,"equipment,party",
9CA10,8009CA10,4,4 Bytes,Yuffie's Weapon Materia Slot 2,"equipment,party",
9CA14,8009CA14,4,4 Bytes,Yuffie's Weapon Materia Slot 3,"equipment,party",
9CA18,8009CA18,4,4 Bytes,Yuffie's Weapon Materia Slot 4,"equipment,party",
9CA1C,8009CA1C,4,4 Bytes,Yuffie's Weapon Materia Slot 5,"equipment,party",
9CA20,8009CA20,4,4 Bytes,Yuffie's Weapon Materia Slot 6,"equipment,party",
9CA24,8009CA24,4,4 Bytes,Yuffie's Weapon Materia Slot 7,"equipment,party",
9CA28,8009CA28,4,4 Bytes,Yuffie's Weapon Materia Slot 8,"equipment,party",
9CA2C,8009CA2C,4,4 Bytes,Yuffie's Armor Materia Slot 1,"equipment,party",
9CA30,8009CA30,4,4 Bytes,Yuffie's Armor Materia Slot 2,"equipment,party",
9CA34,8009CA34,4,4 Bytes,Yuffie's Armor Materia Slot 3,"equipment,party",
9CA38,8009CA38,4,4 Bytes,Yuffie's Armor Materia Slot 4,"equipment,party",
9CA3C,8009CA3C,4,4 Bytes,Yuffie's Armor Materia Slot 5,"equipment,party",
9CA40,8009CA40,4,4 Bytes,Yuffie's Armor Materia Slot 6,"equipment,party",
9CA44,8009CA44,4,4 Bytes,Yuffie's Armor Materia Slot 7,"equipment,party",
9CA48,8009CA48,4,4 Bytes,Yuffie's Armor Materia Slot 8,"equipment,party",
